Country;Women;Men
Germany;84.1;79.6
Austria;84.2;79.9
Belgium;84.3;80.0
Bulgaria;79.1;72.1
Denmark;83.3;79.5
Spain;86.7;81.3
Estonia;83.1;75.0
Finland;85.1;79.8
France;85.8;80.3
Greece;85.1;80.5
Hungary;80.7;73.8
Ireland;84.3;81.3
Italy;86.0;81.9
Latvia;80.4;70.8
Lithuania;81.7;71.0
Norway;84.8;81.1
Netherlands;84.4;81.2
Poland;83.0;75.5
Portugal;85.3;79.8
Czech Republic;82.4;77.3
Romania;79.9;73.1
United Kingdom;83.3;80.2
Russia;78.2;67.6
Slovakia;81.4;74.6
Sweden;85.0;81.7
Switzerland;86.0;82.4
South Africa;68.4;61.5
Democratic Republic of the Congo;63.2;60.0
Egypt;75.0;70.2
Kenya;69.9;65.0
Nigeria;56.8;54.8
Sudan;68.0;64.2
Tanzania;68.3;64.5
Argentina;80.4;73.8
Brazil;80.1;73.0
Canada;84.7;81.2
Colombia;80.5;75.2
United States;81.7;76.6
Mexico;78.2;72.6
Bangladesh;75.6;71.8
China;79.7;75.4
India;71.8;69.2
Indonesia;74.6;70.1
Japan;88.1;81.9
Pakistan;68.9;66.8
Philippines;75.9;67.7
Australia;85.8;82.1
New Zealand;84.4;81.2
Papua New Guinea;66.6;63.9